Sex,Age,School failure,Whatsapp,W,Facebook,F,Instagram,I,Twitter,Tw,Snapchat,S,TikTok,Tk,Other social,O,Time spent on social media,Daily use of social media,Which Device,Time flows,Perceived anxiety during SM use,Perceived loneliness,SM checking,Video-games and online play,Time spent on line playng videogames,BSMAS,BSMAS cut-off underlined,RSES,CSIQ-A,STAI Y-1,STAI Y-2
Female,15,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,Less alone,Infrequently (1-2 times),Never,I don't play,17,17,13,18,47,43
Female,17,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Never,Never,I don't play,19,19,19,20,37,35
Female,15,No,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Often,1-3 hours,19,19,14,16,36,39
Male,19,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,As always,As always,As always,Very often (every 10 minutes),Sometimes,<1 hour,15,15,13,13,40,51
Male,15,No,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Often,3-5 hours,15,15,12,20,49,51
Male,15,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,As always,As always,Less alone,Never,Sometimes,1-3 hours,14,14,18,14,42,43
Female,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,As always,As always,Less alone,Infrequently (1-2 times),Infrequently,<1 hour,7,7,19,18,40,44
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,As always,Less anxious,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Sometimes,Approximately one hour,9,9,23,27,53,50
Female,15,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,10 or more,Yes,Smartphone,Faster,As always,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Never,I don't play,10,10,8,24,43,60
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,18,18,21,23,43,41
Female,19,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,24,24,7,13,51,49
Female,19,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,24,24,7,13,51,49
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,No,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Sometimes,3-5 hours,24,24,16,27,45,50
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,I don't play,24,24,20,23,48,48
Female,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Infrequently,<1 hour,11,11,17,21,37,46
Female,15,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,0-2,No,Smartphone and computer,As always,More anxious,As always,Infrequently (1-2 times),Never,<1 hour,11,11,23,12,48,52
Male,15,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,10 or more,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Everyday,3-5 hours,13,13,15,37,55,52
Female,19,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,Less anxious,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,I don't play,11,11,11,21,36,43
Male,17,Yes,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,<1 hour,12,12,27,17,43,53
Female,14,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,6-8,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Never,I don't play,7,7,21,31,42,40
Female,16,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Never,I don't play,15,15,23,21,42,42
Male,17,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,10 or more,Yes,Smartphone,As always,As always,More alone,Never,Sometimes,1-3 hours,14,14,17,22,41,47
Female,15,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,6-8,Yes,Smartphone,As always,More anxious,Less alone,Infrequently (1-2 times),Never,I don't play,13,13,7,23,47,41
Male,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,No,Smartphone,As always,As always,As always,Infrequently (1-2 times),Sometimes,<1 hour,12,12,22,24,37,40
Female,15,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Very often (every 10 minutes),Never,I don't play,14,14,14,26,41,46
Male,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Never,Sometimes,<1 hour,14,14,26,26,40,42
Male,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Never,Sometimes,<1 hour,14,14,26,26,40,42
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Never,Never,I don't play,14,14,22,20,47,54
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,More alone,Never,Sometimes,Approximately one hour,16,16,19,23,51,47
Female,15,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,9,9,17,21,37,44
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone and computer,Faster,As always,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Often,3-5 hours,9,9,17,20,43,44
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone and computer,Faster,Less anxious,As always,Infrequently (1-2 times),Never,I don't play,12,12,12,20,54,54
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,Faster,Less anxious,As always,Infrequently (1-2 times),Often,Approximately one hour,14,14,14,15,37,50
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,More alone,Never,Sometimes,Approximately one hour,6,6,19,23,51,47
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,2-4,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Everyday,More than five hours,6,6,16,26,36,44
Male,18,No,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,13,13,18,30,51,41
Male,15,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,Less alone,Infrequently (1-2 times),Sometimes,1-3 hours,10,10,19,19,41,45
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Often,1-3 hours,11,11,20,26,39,33
Female,19,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Never,I don't play,15,15,24,26,41,42
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Very often (every 10 minutes),Infrequently,<1 hour,13,13,18,17,43,45
Female,16,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,10 or more,Yes,Smartphone,As always,Less anxious,Less alone,Infrequently (1-2 times),Never,I don't play,16,16,15,21,39,39
Female,16,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,10,10,18,29,43,45
Female,16,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,2-4,No,Smartphone,As always,As always,As always,Infrequently (1-2 times),Infrequently,<1 hour,13,13,22,31,44,49
Female,15,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,10 or more,Yes,Smartphone,Faster,As always,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Never,I don't play,18,18,8,24,43,60
Female,15,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,16,16,17,21,37,44
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,Less anxious,As always,Infrequently (1-2 times),Often,1-3 hours,7,7,17,18,40,52
Male,15,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,Less alone,Infrequently (1-2 times),Sometimes,1-3 hours,19,19,19,19,41,45
Female,15,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,6-8,Yes,Smartphone,Slower,As always,More alone,Infrequently (1-2 times),Sometimes,1-3 hours,10,10,13,16,50,49
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Everyday,More than five hours,9,9,10,17,39,43
Female,16,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Never,I don't play,17,17,6,15,52,55
Male,15,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,Less alone,Infrequently (1-2 times),Often,3-5 hours,6,6,18,25,41,42
Male,15,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,No,Smartphone,Faster,Less anxious,As always,Never,Sometimes,Approximately one hour,9,9,19,22,46,54
Male,17,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Often,1-3 hours,15,15,17,18,47,50
Male,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,No,Smartphone,As always,As always,As always,Infrequently (1-2 times),Sometimes,I don't play,12,12,24,20,70,77
Male,18,Yes,0,No,0,No,0,No,0,No,0,No,0,No,1,Yes,4-6,Yes,Smartphone and computer,As always,As always,As always,Infrequently (1-2 times),Often,1-3 hours,10,10,3,34,44,44
Female,19,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,6-8,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,16,16,15,16,47,59
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone and computer,As always,Less anxious,Less alone,Infrequently (1-2 times),Often,1-3 hours,9,9,20,24,50,46
Male,16,No,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone and computer,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Often,1-3 hours,6,6,15,29,43,50
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Never,Infrequently,1-3 hours,6,6,16,18,45,47
Male,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,No,Smartphone,As always,As always,As always,Infrequently (1-2 times),Sometimes,<1 hour,10,10,22,24,37,40
Female,19,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,Faster,As always,Less alone,Never,Never,I don't play,16,16,14,27,45,53
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,Less anxious,Less alone,Infrequently (1-2 times),Often,1-3 hours,11,11,17,19,48,48
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,2-4,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,<1 hour,7,7,17,23,45,51
Male,18,No,1,Yes,0,No,1,Yes,1,Yes,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Often,1-3 hours,14,14,25,15,45,42
Male,15,No,0,No,0,No,1,Yes,0,No,0,No,0,No,1,Yes,6-8,Yes,Smartphone and computer,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Sometimes,Approximately one hour,14,14,19,25,46,46
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,9,9,20,19,44,45
Female,16,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,6-8,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,14,14,14,15,33,41
Male,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,Other,14,14,18,13,39,40
Female,19,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,Less anxious,Less alone,Infrequently (1-2 times),Never,I don't play,11,11,10,14,51,57
Female,14,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Sometimes,Approximately one hour,14,14,21,21,43,49
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Often,1-3 hours,19,19,19,30,41,42
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,More alone,Infrequently (1-2 times),Often,3-5 hours,12,12,17,14,41,38
Female,19,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,Less anxious,Less alone,Infrequently (1-2 times),Never,I don't play,17,17,10,14,51,57
Female,19,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Never,I don't play,10,10,24,26,41,42
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Everyday,More than five hours,13,13,10,17,39,43
Male,17,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Often,1-3 hours,12,12,19,17,42,41
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Never,Often,1-3 hours,12,12,15,29,44,53
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Never,Everyday,3-5 hours,6,6,27,26,45,43
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,8-10,Yes,Smartphone,As always,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,I don't play,8,8,10,20,33,45
Male,16,No,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Very often (every 10 minutes),Everyday,3-5 hours,9,9,14,15,36,50
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,As always,Less anxious,As always,Never,Infrequently,I don't play,10,10,10,24,46,52
Female,15,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,As always,As always,Less alone,Never,Sometimes,<1 hour,11,11,25,27,43,44
Male,16,No,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,2-4,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Often,Approximately one hour,10,10,23,30,53,47
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,As always,Less anxious,As always,Never,Infrequently,I don't play,8,8,10,24,46,52
Male,15,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,4-6,Yes,Other,Faster,As always,Less alone,Infrequently (1-2 times),Often,1-3 hours,11,11,19,25,43,56
Male,15,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,4-6,Yes,Other,Faster,As always,Less alone,Infrequently (1-2 times),Often,1-3 hours,15,15,19,25,43,56
Male,16,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Everyday,More than five hours,9,9,26,15,42,43
Female,16,No,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,0,No,6-8,Yes,Smartphone,Faster,Less anxious,Less alone,Infrequently (1-2 times),Never,1-3 hours,9,9,13,19,52,54
Female,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Sometimes,<1 hour,13,13,18,28,41,44
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,10 or more,Yes,Smartphone,Faster,Less anxious,Less alone,Infrequently (1-2 times),Sometimes,<1 hour,14,14,24,23,47,53
Female,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone and computer,As always,Less anxious,As always,Infrequently (1-2 times),Never,1-3 hours,9,9,16,26,51,43
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,Faster,As always,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Never,Approximately one hour,12,12,14,23,42,43
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,8-10,Yes,Smartphone,Faster,As always,Less alone,Infrequently (1-2 times),Sometimes,1-3 hours,6,6,10,21,39,48
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,11,11,21,20,47,45
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,9,9,21,20,47,45
Male,19,No,1,Yes,0,No,0,No,0,No,0,No,0,No,1,Yes,0-2,No,Smartphone,Slower,As always,As always,Infrequently (1-2 times),Sometimes,<1 hour,11,11,21,34,52,49
Female,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Sometimes,<1 hour,7,7,18,28,41,44
Female,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,Approximately one hour,9,9,13,22,42,47
Male,15,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,As always,As always,As always,Never,Sometimes,Other,9,9,21,25,52,48
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Everyday,3-5 hours,9,9,12,22,43,49
Female,17,No,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,As always,As always,Less alone,Infrequently (1-2 times),Infrequently,<1 hour,6,6,14,21,36,45
Female,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,Slower,Less anxious,Less alone,Infrequently (1-2 times),Infrequently,I don't play,11,11,8,13,44,63
Female,18,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,Less alone,Never,Sometimes,1-3 hours,12,12,17,25,44,43
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,6,6,21,21,54,50
Female,17,No,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Sometimes,I don't play,10,10,20,21,41,45
Male,18,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,0-2,No,Smartphone,As always,As always,As always,Never,Sometimes,1-3 hours,12,12,16,18,54,57
Female,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,Slower,Less anxious,Less alone,Infrequently (1-2 times),Infrequently,I don't play,14,14,8,13,44,63
Female,19,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Never,I don't play,18,18,24,26,41,42
Female,16,No,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,0-2,Yes,Smartphone,Faster,As always,As always,Never,Infrequently,1-3 hours,12,12,17,13,37,41
Male,15,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,No,Smartphone,As always,As always,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Everyday,3-5 hours,9,9,12,15,44,50
Male,15,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,No,Smartphone,As always,As always,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Everyday,3-5 hours,6,6,12,15,44,50
Male,18,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Sometimes,1-3 hours,7,7,18,16,38,41
Female,17,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,8-10,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,9,9,13,23,31,51
Male,15,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone and computer,As always,As always,As always,Infrequently (1-2 times),Everyday,3-5 hours,7,7,19,17,44,53
Male,14,No,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,2-4,Yes,Smartphone and computer,Faster,As always,As always,Never,Often,1-3 hours,17,17,21,24,47,44